DateID,FullDate,year,month,Day
1312,2017-08-29,2017,8,29
1096,2017-01-09,2017,1,9
1307,2017-08-24,2017,8,24
1304,2017-08-21,2017,8,21
1304,2017-08-21,2017,8,21
1361,2017-10-17,2017,10,17
1434,2017-12-30,2017,12,30
1395,2017-11-21,2017,11,21
1261,2017-07-09,2017,7,9
1335,2017-09-21,2017,9,21
1438,2018-01-03,2018,1,3
1398,2017-11-24,2017,11,24
1205,2017-05-10,2017,5,10
1335,2017-09-21,2017,9,21
1332,2017-09-18,2017,9,18
1389,2017-11-15,2017,11,15
1464,2018-01-30,2018,1,30
1437,2018-01-02,2018,1,2
1416,2017-12-12,2017,12,12
1676,2018-09-02,2018,9,2
1404,2017-11-30,2017,11,30
1735,2018-11-01,2018,11,1
1325,2017-09-11,2017,9,11
1403,2017-11-29,2017,11,29
1433,2017-12-29,2017,12,29
1703,2018-09-29,2018,9,29
1457,2018-01-22,2018,1,22
1877,2019-03-26,2019,3,26
1586,2018-06-03,2018,6,3
1469,2018-02-04,2018,2,4
1534,2018-04-10,2018,4,10
1766,2018-12-04,2018,12,4
1610,2018-06-28,2018,6,28
1633,2018-07-21,2018,7,21
1596,2018-06-13,2018,6,13
1745,2018-11-12,2018,11,12
1703,2018-09-29,2018,9,29
1684,2018-09-10,2018,9,10
1781,2018-12-19,2018,12,19
1851,2019-02-28,2019,2,28
2066,2019-10-04,2019,10,4
1887,2019-04-05,2019,4,5
1927,2019-05-15,2019,5,15
1961,2019-06-19,2019,6,19
1956,2019-06-14,2019,6,14
2024,2019-08-23,2019,8,23
2031,2019-08-30,2019,8,30
2062,2019-09-30,2019,9,30
2196,2020-02-14,2020,2,14
2286,2020-06-05,2020,6,5
2278,2020-05-28,2020,5,28
2433,2020-11-05,2020,11,5
2298,2020-06-17,2020,6,17
2469,2020-12-14,2020,12,14
2604,2021-05-01,2021,5,1
2540,2021-02-24,2021,2,24
2647,2021-06-14,2021,6,14
2677,2021-07-14,2021,7,14
2662,2021-06-29,2021,6,29
2663,2021-06-30,2021,6,30
2714,2021-08-21,2021,8,21
2769,2021-10-18,2021,10,18
2792,2021-11-10,2021,11,10
2781,2021-10-30,2021,10,30
2842,2021-12-31,2021,12,31
2918,2022-03-19,2022,3,19
2894,2022-02-21,2022,2,21
2898,2022-02-25,2022,2,25
3055,2022-08-06,2022,8,6
3055,2022-08-06,2022,8,6
3077,2022-08-30,2022,8,30
3108,2022-09-30,2022,9,30
3156,2022-11-19,2022,11,19
3149,2022-11-11,2022,11,11
3195,2022-12-30,2022,12,30
3149,2022-11-11,2022,11,11
3256,2023-03-03,2023,3,3
3194,2022-12-29,2022,12,29
3229,2023-02-03,2023,2,3
3287,2023-04-03,2023,4,3
3277,2023-03-24,2023,3,24
3348,2023-06-04,2023,6,4
3328,2023-05-15,2023,5,15
3365,2023-06-21,2023,6,21
3337,2023-05-24,2023,5,24
3363,2023-06-19,2023,6,19
3364,2023-06-20,2023,6,20
3421,2023-08-17,2023,8,17
3372,2023-06-28,2023,6,28
3372,2023-06-28,2023,6,28
3421,2023-08-17,2023,8,17
3460,2023-09-25,2023,9,25
3422,2023-08-18,2023,8,18
3205,2023-01-09,2023,1,9
3435,2023-08-31,2023,8,31
3477,2023-10-13,2023,10,13
3508,2023-11-16,2023,11,16
3475,2023-10-11,2023,10,11
3485,2023-10-21,2023,10,21
3415,2023-08-11,2023,8,11
